Team,Conf,Season,Game,Home,Away,Points,Points Against,Date
Arkansas,SEC,2002,Arkansas vs Boise State,Arkansas,Boise State,41,14,2002-09-07T23:00:00.000Z
Virginia,ACC,2002,Virginia vs South Carolina,Virginia,South Carolina,34,21,2002-09-07T23:45:00.000Z
LSU,SEC,2002,LSU vs The Citadel,LSU,The Citadel,35,10,2002-09-08T00:00:00.000Z
Auburn,SEC,2002,Auburn vs Vanderbilt,Auburn,Vanderbilt,31,6,2002-09-14T16:30:00.000Z
South Carolina,SEC,2002,South Carolina vs Georgia,South Carolina,Georgia,7,13,2002-09-14T19:30:00.000Z
Texas Tech,Big 12,2002,Texas Tech vs Ole Miss,Texas Tech,Ole Miss,42,28,2002-09-14T19:30:00.000Z
Florida,SEC,2002,Florida vs Ohio,Florida,Ohio,34,6,2002-09-14T22:00:00.000Z
Kentucky,SEC,2002,Kentucky vs Indiana,Kentucky,Indiana,27,17,2002-09-14T23:00:00.000Z
Arkansas,SEC,2002,Arkansas vs South Florida,Arkansas,South Florida,42,3,2002-09-14T23:00:00.000Z
Alabama,SEC,2002,Alabama vs North Texas,Alabama,North Texas,33,7,2002-09-14T23:00:00.000Z
Mississippi State,SEC,2002,Mississippi State vs Jacksonville State,Mississippi State,Jacksonville State,51,13,2002-09-14T23:00:00.000Z
LSU,SEC,2002,LSU vs Miami (OH),LSU,Miami (OH),33,7,2002-09-15T00:00:00.000Z
Mississippi State,SEC,2002,Mississippi State vs Auburn,Mississippi State,Auburn,14,42,2002-09-19T23:45:00.000Z
Ole Miss,SEC,2002,Ole Miss vs Vanderbilt,Ole Miss,Vanderbilt,45,38,2002-09-21T16:30:00.000Z
Georgia,SEC,2002,Georgia vs Northwestern State,Georgia,Northwestern State,45,7,2002-09-21T17:00:00.000Z
Kentucky,SEC,2002,Kentucky vs Middle Tennessee,Kentucky,Middle Tennessee,44,22,2002-09-21T17:30:00.000Z
Tennessee,SEC,2002,Tennessee vs Florida,Tennessee,Florida,13,30,2002-09-21T19:30:00.000Z
South Carolina,SEC,2002,South Carolina vs Temple,South Carolina,Temple,42,21,2002-09-21T23:00:00.000Z
Alabama,SEC,2002,Alabama vs Southern Miss,Alabama,Southern Miss,20,7,2002-09-21T23:00:00.000Z
LSU,SEC,2002,LSU vs Mississippi State,LSU,Mississippi State,31,13,2002-09-28T16:30:00.000Z
Georgia,SEC,2002,Georgia vs New Mexico State,Georgia,New Mexico State,41,10,2002-09-28T17:00:00.000Z
Florida,SEC,2002,Florida vs Kentucky,Florida,Kentucky,41,34,2002-09-28T19:30:00.000Z
Tennessee,SEC,2002,Tennessee vs Rutgers,Tennessee,Rutgers,35,14,2002-09-28T23:00:00.000Z
Vanderbilt,SEC,2002,Vanderbilt vs South Carolina,Vanderbilt,South Carolina,14,20,2002-09-28T23:00:00.000Z
Arkansas,SEC,2002,Arkansas vs Alabama,Arkansas,Alabama,12,30,2002-09-28T23:45:00.000Z
Auburn,SEC,2002,Auburn vs Syracuse,Auburn,Syracuse,37,34,2002-09-29T01:00:00.000Z
Ole Miss,SEC,2002,Ole Miss vs Florida,Ole Miss,Florida,17,14,2002-10-05T16:00:00.000Z
